QUOTES,AUTHOR
"“Do not let your difficulties fill you with anxiety; after all, it is only in the darkest nights that stars shine more brightly.” ",— Ali ibn Abi Talib
"“If you’re always trying to be normal, you will never know how amazing you can be.”",— Maya Angelou
“What lies behind us and what lies before us are tiny matters compared to what lies within us.”,— Ralph Waldo Emerson
“You are never too old to set another goal or to dream a new dream.”,— C.S. Lewis
“No need to hurry. No need to sparkle. No need to be anybody but oneself.”,— Virginia Woolf
“You alone are enough. You have nothing to prove to anybody.”,— Maya Angelou
"“It’s not the load that breaks you down, it’s the way you carry it.”",— Lena Horne
" “Success is not final, failure is not fatal: it is the courage to continue that counts.”",— Winston Churchill
“Even the darkest night will end and the sun will rise.”,— Victor Hugo
“A champion is defined not by their wins but by how they can recover when they fall.”,— Serena Williams
“Keep your face always toward the sunshine—and shadows will fall behind you.”,— Walt Whitman
 “It does not matter how slowly you go as long as you do not stop.”,— Confucius
"“Why do we fall, Bruce? So that we can learn to pick ourselves up.”",— Thomas Wayne (Batman Begins)
"“Our greatest glory is not in never falling, but in rising every time we fall.”",— Nelson Mandela
"“You, yourself, as much as anybody in the entire universe, deserve your love and affection.”",— Buddha
" “You are braver than you believe, stronger than you seem, and smarter than you think.”",— A.A. Milne (Winnie the Pooh)
" “Courage doesn’t always roar. Sometimes courage is the quiet voice at the end of the day saying, ‘I will try again tomorrow.’”",— Mary Anne Radmacher
" “It’s not who I am underneath, but what I do that defines me.”",— Batman (Batman Begins)
"You may not control all the events that happen to you, but you can decide not to be reduced by them.”",— Maya Angelou
"“You are imperfect, you are wired for struggle, but you are worthy of love and belonging.” — Brené Brown",— Brené Brown
" “It’s okay to not be okay. It’s something that I deal with every day. When you don’t struggle with it, it’s hard to understand, but for me, it’s a daily bat",- Demi Lovato
"“Therapy has saved my life so many times. If you’re afraid to ask for help, don’t be. You don’t have to be in constant pain, and you don’t have to face it alone.”", - Ariana Grande
"“It’s okay to not be okay, and it’s okay to talk about it. There are people out there who care about you and want to help.”",- Naomi Osaka
" “If you see someone that’s hurting, don’t look away. If you’re hurting, even though it might be hard, try to find that bravery within yourself and tell somebody.”",- Lady Gaga
"“There is nothing wrong with reaching out for support. People are there for you, and it does not make you weak.”",- Zendaya 
“The best thing I ever did was start talking about my anxiety. It changed my life.”, – Chris Evans 
 “It doesn’t make you weak to ask for help. It doesn’t. It doesn’t make you weak to ask for a friend to go with you to a therapist. It doesn’t make you weak.”, – Billie Eilish 
"“Taking care of your mental health is more important than any other thing in your life because without it, nothing else works.”", – Selena Gomez 
"“I’ve had anxiety my whole life. I know that when I’m in a real dark place, I just need to remind myself that it’s temporary.”", – Ryan Reynolds 
"“A big part of mental health is being honest with yourself. And when you’re struggling, talking about it can help more than you think.”", – Harry Styles 
"“Healing takes time, and asking for help is a courageous step.”",– Demi Lovato 
" “Loving yourself isn’t a choice; it’s a necessity. That includes loving your mind, your heart, and your mental health.”",– Lizzo 
 “I want people to know that you don’t have to be alone. There are people who want to help you.”,– Justin Bieber 
" “It’s okay to have depression, it’s okay to have anxiety, it’s okay to have PTSD. It’s okay to need help.”", – Halsey 
" “Mental health is just as important as physical health. If you don’t take care of what’s in your mind, you won’t be able to take care of your body.”",– LeBron James
 “It’s okay to not be okay. The key is to never stop fighting for your own well-being.”, – Serena Williams
" “I struggled with anxiety and depression, but talking about it saved my life. I want others to know they’re not alone.”", –  Michael Phelps 
" “Protecting your mental health is not a weakness, it’s a strength.”",– Naomi Osaka 
 “You don’t always have to have it all together. It’s okay to not be okay and to ask for help when you need it.”,– Shaquille O’Neal 
 “We need to do a better job of putting ourselves higher on our own ‘to-do’ list.”,– Michelle Obama 
 “Courage is not just about being brave. Courage is about reaching out for help when you need it.”,– Prince William 
"“You don’t have to carry the weight of the world on your shoulders. You can ask for help, and that is a sign of strength.”",– Oprah Winfrey 
"“You are imperfect, you are wired for struggle, but you are worthy of love and belonging.”",– Brené Brown 
"“Nothing can dim the light that shines from within. Protect your mind, and let your light shine.”", – Maya Angelou 
